Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member
Metro Jean-Drapeau (Chemin Macdonald),45.51280058,-73.53111595,Metro Jean-Drapeau (Chemin Macdonald),45.51280058,-73.53111595,518.0,2091.945945945946,11.196911196911197
de la Commune / Place Jacques-Cartier,45.50761009,-73.55183601,de la Commune / Place Jacques-Cartier,45.50761009,-73.55183601,503.0,1547.7594433399602,11.133200795228628
Métro Charlevoix (Centre / Charlevoix),45.47822787,-73.56965125,Shearer / Centre,45.48300562,-73.56218666,420.0,242.25238095238095,96.66666666666667
de la Commune / St-Sulpice,45.50424246,-73.55346948,de la Commune / St-Sulpice,45.50424246,-73.55346948,417.0,1926.5107913669065,16.06714628297362
Shearer / Centre,45.48300562,-73.56218666,Métro Charlevoix (Centre / Charlevoix),45.47822787,-73.56965125,380.0,253.28157894736842,98.42105263157895
Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,Marquette / Laurier,45.53543,-73.5822,368.0,324.1222826086956,91.03260869565217
Métro Georges-Vanier (St-Antoine / Canning),45.4891,-73.57656,des Seigneurs / Notre-Dame,45.48772279,-73.56908262,338.0,219.54437869822485,97.0414201183432
Augustin-Cantin / Shearer,45.48401829,-73.56343659999999,Métro Charlevoix (Centre / Charlevoix),45.47822787,-73.56965125,317.0,273.10725552050474,96.84542586750788
Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,de Lanaudière / Laurier,45.53331361,-73.58373687,316.0,241.2405063291139,98.73417721518987
de la Commune / King,45.49751503,-73.55257094,Marché Atwater,45.48020823,-73.57759863,315.0,1502.263492063492,41.904761904761905
de la Commune / King,45.49751503,-73.55257094,de la Commune / Place Jacques-Cartier,45.50761009,-73.55183601,311.0,990.7813504823151,31.832797427652732
Métro Joliette  (Joliette / Hochelaga),45.54690718,-73.55155706,Valois / Ontario,45.54740496,-73.54467452,285.0,235.2842105263158,97.89473684210527
de la Commune / St-Sulpice,45.50424246,-73.55346948,de la Commune / Place Jacques-Cartier,45.50761009,-73.55183601,284.0,1614.9471830985915,20.774647887323944
Marquette / Laurier,45.53543,-73.5822,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,284.0,332.71478873239437,94.71830985915493
Métro Charlevoix (Centre / Charlevoix),45.47822787,-73.56965125,Bourgeoys / Favard,45.47993042,-73.55592102,277.0,437.35018050541515,94.22382671480143
Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,Marché Maisonneuve,45.55321884,-73.53978217,271.0,329.0369003690037,99.2619926199262
Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,Laurier / de Brébeuf,45.53251396,-73.58481109,267.0,256.1685393258427,98.50187265917603
Marché Atwater,45.48020823,-73.57759863,de la Commune / King,45.49751503,-73.55257094,267.0,1404.198501872659,35.2059925093633
Gerry-Boulet / St-Grégoire,45.53373523,-73.58930647,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,260.0,269.1923076923077,99.23076923076923
Marché Atwater,45.48020823,-73.57759863,de la Commune / St-Sulpice,45.50424246,-73.55346948,252.0,1514.702380952381,27.380952380952383
de la Commune / King,45.49751503,-73.55257094,de la Commune / Berri,45.51086,-73.54983,249.0,804.429718875502,61.44578313253012
Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,Desjardins / Ontario,45.55119189,-73.54087248,246.0,276.109756097561,96.34146341463415
de la Commune / King,45.49751503,-73.55257094,de la Commune / King,45.49751503,-73.55257094,244.0,1570.8852459016393,30.737704918032787
Garnier / du Mont-Royal,45.53092,-73.57674,Resther / du Mont-Royal,45.52562819,-73.58177483,241.0,277.73029045643153,97.9253112033195
Métro Joliette  (Joliette / Hochelaga),45.54690718,-73.55155706,Aylwin / Ontario,45.54428417,-73.5453397,240.0,212.95833333333334,99.16666666666667
Métro Charlevoix (Centre / Charlevoix),45.47822787,-73.56965125,Augustin-Cantin / Shearer,45.48401829,-73.56343659999999,236.0,266.33898305084745,96.61016949152543
Pontiac / Gilford,45.52700933,-73.58576596,Gilford / de Lanaudière,45.532008000000005,-73.58044446,233.0,266.89270386266094,100.0
Métro Bonaventure (de la Gauchetière / de la Cathédrale),45.49831218,-73.56725603,Ottawa / Peel,45.49390895,-73.55950713,232.0,289.19827586206895,93.96551724137932
de la Commune / Berri,45.51086,-73.54983,de la Commune / King,45.49751503,-73.55257094,231.0,846.1991341991342,60.17316017316018
