Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member
de la Commune / Place Jacques-Cartier,45.54690720000001,-73.5515571,Marché Atwater,45.5443031,-73.5454725,146.0,1573.0205479452054,47.94520547945205
Paré / Mountain Sights,45.54690720000001,-73.5515571,Paré / Mountain Sights,45.5443031,-73.5454725,146.0,1908.5205479452054,47.94520547945205
Gary-Carter / St-Laurent,45.54690720000001,-73.5515571,Gary-Carter / St-Laurent,45.5443031,-73.5454725,143.0,1442.3006993006993,46.15384615384615
de la Commune / St-Sulpice,45.54690720000001,-73.5515571,Marché Atwater,45.5443031,-73.5454725,142.0,1477.4225352112676,43.66197183098591
de la Commune / Place Jacques-Cartier,45.54690720000001,-73.5515571,Normand / Marguerite-d’Youville,45.5443031,-73.5454725,138.0,1374.4565217391305,42.028985507246375
de la Commune / Place Jacques-Cartier,45.54690720000001,-73.5515571,de la Commune / St-Sulpice,45.5443031,-73.5454725,137.0,2166.2335766423357,25.547445255474454
Place du Commerce,45.54690720000001,-73.5515571,Elgar / de l'Île-des-Sœurs,45.5443031,-73.5454725,135.0,683.0444444444445,66.66666666666666
Marché Atwater,45.54690720000001,-73.5515571,Marché Atwater,45.5443031,-73.5454725,133.0,1909.4135338345864,42.857142857142854
Parc Jeanne Mance (monument sir George-Etienne Cartier),45.54690720000001,-73.5515571,Parc Jeanne Mance (monument sir George-Etienne Cartier),45.5443031,-73.5454725,132.0,1736.9015151515152,68.18181818181817
Normand / Marguerite-d’Youville,45.54690720000001,-73.5515571,Parc Jean-Drapeau (Chemin Macdonald),45.5443031,-73.5454725,128.0,1644.7890625,47.65625
Gagne / LaSalle,45.54690720000001,-73.5515571,Gagne / LaSalle,45.5443031,-73.5454725,128.0,1921.7109375,34.375
Normand / Marguerite-d’Youville,45.54690720000001,-73.5515571,de la Commune / St-Sulpice,45.5443031,-73.5454725,125.0,981.368,54.400000000000006
Marché Atwater,45.54690720000001,-73.5515571,de la Commune / Place Jacques-Cartier,45.5443031,-73.5454725,125.0,1503.728,48.0
St-Mathieu / Ste-Catherine,45.54690720000001,-73.5515571,St-Mathieu / Ste-Catherine,45.5443031,-73.5454725,124.0,1084.2016129032259,57.25806451612904
Marché Atwater,45.54690720000001,-73.5515571,des Bassins / du Séminaire,45.5443031,-73.5454725,124.0,987.5645161290323,70.16129032258065
Elgar / de l'Île-des-Sœurs,45.54690720000001,-73.5515571,Place du Commerce,45.5443031,-73.5454725,124.0,796.1048387096774,66.93548387096774
Métro de l'Église (Ross / de l'Église),45.54690720000001,-73.5515571,de l'Église / Bannantyne,45.5443031,-73.5454725,122.0,427.6885245901639,100.0
Marché Atwater,45.54690720000001,-73.5515571,de la Commune / St-Sulpice,45.5443031,-73.5454725,120.0,1277.25,50.0
des Bassins / du Séminaire,45.54690720000001,-73.5515571,Marché Atwater,45.5443031,-73.5454725,119.0,832.2941176470588,64.70588235294117
des Bassins / Richmond,45.54690720000001,-73.5515571,des Bassins / Richmond,45.5443031,-73.5454725,119.0,1784.2773109243697,64.70588235294117
Ann / Wellington,45.54690720000001,-73.5515571,Ann / Wellington,45.5443031,-73.5454725,118.0,1912.7203389830509,78.8135593220339
Grand Boulevard / de Terrebonne,45.54690720000001,-73.5515571,Grand Boulevard / de Terrebonne,45.5443031,-73.5454725,118.0,1674.2542372881355,61.86440677966102
de la Commune / Berri,45.54690720000001,-73.5515571,de la Commune / St-Sulpice,45.5443031,-73.5454725,116.0,1135.9224137931035,59.48275862068966
Young / Wellington,45.54690720000001,-73.5515571,Young / Wellington,45.5443031,-73.5454725,115.0,1543.5217391304348,72.17391304347827
Métro Atwater (Atwater / Ste-Catherine),45.54690720000001,-73.5515571,St-Mathieu / Ste-Catherine,45.5443031,-73.5454725,114.0,435.9736842105263,81.57894736842105
Métro Atwater (Atwater / Ste-Catherine),45.54690720000001,-73.5515571,Melville / de Maisonneuve,45.5443031,-73.5454725,114.0,651.4298245614035,81.57894736842105
Melville / de Maisonneuve,45.54690720000001,-73.5515571,de Maisonneuve / Greene,45.5443031,-73.5454725,114.0,504.3333333333333,87.71929824561403
Jacques-Le Ber / de la Pointe Nord,45.54690720000001,-73.5515571,Jacques-Le Ber / de la Pointe Nord,45.5443031,-73.5454725,112.0,2321.2678571428573,46.42857142857143
Normand / Marguerite-d’Youville,45.54690720000001,-73.5515571,Léa-Roback / Sir-Georges-Etienne-Cartier,45.5443031,-73.5454725,112.0,1400.455357142857,53.57142857142857
Métro Viau (Pierre-de-Coubertin / Viau),45.54690720000001,-73.5515571,de Ville-Marie / Ste-Catherine,45.5443031,-73.5454725,112.0,426.7857142857143,80.35714285714286
Berlioz / de l'Île des Soeurs,45.54690720000001,-73.5515571,Berlioz / de l'Île des Soeurs,45.5443031,-73.5454725,112.0,2022.580357142857,73.21428571428571
de la Côte St-Paul / St-Ambroise,45.54690720000001,-73.5515571,Marché Atwater,45.5443031,-73.5454725,112.0,928.3928571428571,62.5
de Maisonneuve / Greene,45.54690720000001,-73.5515571,Melville / de Maisonneuve,45.5443031,-73.5454725,111.0,601.8198198198198,72.07207207207207
St-Mathieu / Ste-Catherine,45.54690720000001,-73.5515571,Joseph-Manseau / René-Lévesque,45.5443031,-73.5454725,110.0,515.6363636363636,87.27272727272727
Parc des Rapides (LaSalle / 6e avenue),45.54690720000001,-73.5515571,Parc des Rapides (LaSalle / 6e avenue),45.5443031,-73.5454725,109.0,1871.9174311926606,27.522935779816514
Parc Jeanne-Mance (du Mont-Royal / du Parc),45.54690720000001,-73.5515571,Parc Jeanne-Mance (du Mont-Royal / du Parc),45.5443031,-73.5454725,108.0,1665.861111111111,64.81481481481481
de l'Église / Bannantyne,45.54690720000001,-73.5515571,Métro de l'Église (Ross / de l'Église),45.5443031,-73.5454725,107.0,423.8224299065421,96.26168224299066
Marché Atwater,45.54690720000001,-73.5515571,de la Côte St-Paul / St-Ambroise,45.5443031,-73.5454725,107.0,1022.8224299065421,63.55140186915887
Métro Laurier (Rivard / Laurier),45.54690720000001,-73.5515571,Laurier / de Brébeuf,45.5443031,-73.5454725,106.0,303.39622641509436,96.22641509433963
de la Commune / St-Sulpice,45.54690720000001,-73.5515571,Normand / Marguerite-d’Youville,45.5443031,-73.5454725,105.0,1534.8285714285714,46.666666666666664
19e avenue / St-Zotique,45.54690720000001,-73.5515571,19e avenue / St-Zotique,45.5443031,-73.5454725,105.0,1480.0190476190476,78.0952380952381
Marché Atwater,45.54690720000001,-73.5515571,Léa-Roback / Sir-Georges-Etienne-Cartier,45.5443031,-73.5454725,104.0,1147.7788461538462,59.61538461538461
Durocher / Bernard,45.54690720000001,-73.5515571,Durocher / Bernard,45.5443031,-73.5454725,104.0,1419.5961538461538,75.96153846153845
Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.54690720000001,-73.5515571,Desjardins / Ontario,45.5443031,-73.5454725,103.0,280.88349514563106,92.23300970873787
Métro Papineau (Cartier / Ste-Catherine),45.54690720000001,-73.5515571,Parc Jean-Drapeau (Chemin Macdonald),45.5443031,-73.5454725,102.0,1395.186274509804,46.07843137254902
Bloomfield / Van Horne,45.54690720000001,-73.5515571,Bloomfield / Van Horne,45.5443031,-73.5454725,102.0,1712.6078431372548,79.41176470588235
Marquette / du Mont-Royal,45.54690720000001,-73.5515571,Métro Mont-Royal (Rivard / du Mont-Royal),45.5443031,-73.5454725,101.0,372.33663366336634,98.01980198019803
Métro Mont-Royal (Rivard / du Mont-Royal),45.54690720000001,-73.5515571,Marquette / du Mont-Royal,45.5443031,-73.5454725,101.0,412.8019801980198,94.05940594059405
de Maisonneuve / Greene,45.54690720000001,-73.5515571,Métro Vendôme (de Marlowe / de Maisonneuve),45.5443031,-73.5454725,100.0,678.64,69.0
Melville / de Maisonneuve,45.54690720000001,-73.5515571,Melville / de Maisonneuve,45.5443031,-73.5454725,99.0,1265.020202020202,62.62626262626263
de Kent / de la Côte-des-Neiges,45.54690720000001,-73.5515571,Parc Kent (de Kent / Hudson),45.5443031,-73.5454725,98.0,736.3979591836735,83.6734693877551
de Brébeuf / du Mont-Royal,45.54690720000001,-73.5515571,Laurier / de Brébeuf,45.5443031,-73.5454725,97.0,287.2474226804124,94.84536082474226
Métro Atwater (Atwater / Ste-Catherine),45.54690720000001,-73.5515571,Atwater / Greene,45.5443031,-73.5454725,97.0,562.1958762886597,70.10309278350515
Duvernay / Charlevoix,45.54690720000001,-73.5515571,Duvernay / Charlevoix,45.5443031,-73.5454725,97.0,1668.0618556701031,74.22680412371135
Métro Guy-Concordia (Guy / St-Catherine),45.54690720000001,-73.5515571,Guy / Notre-Dame,45.5443031,-73.5454725,97.0,398.30927835051546,80.41237113402062
de Ville-Marie / Ste-Catherine,45.54690720000001,-73.5515571,Métro Viau (Pierre-de-Coubertin / Viau),45.5443031,-73.5454725,96.0,495.25,87.5
St-Philippe / St-Jacques,45.54690720000001,-73.5515571,de la Côte St-Paul / St-Ambroise,45.5443031,-73.5454725,96.0,487.8229166666667,86.45833333333334
de la Côte St-Paul / St-Ambroise,45.54690720000001,-73.5515571,St-Philippe / St-Jacques,45.5443031,-73.5454725,96.0,640.3854166666666,77.08333333333334
Joseph-Manseau / René-Lévesque,45.54690720000001,-73.5515571,St-Mathieu / Ste-Catherine,45.5443031,-73.5454725,95.0,445.8421052631579,85.26315789473684
Gauthier / Papineau,45.54690720000001,-73.5515571,Marquette / du Mont-Royal,45.5443031,-73.5454725,95.0,295.7263157894737,94.73684210526315
Métro Joliette  (Joliette / Hochelaga),45.54690720000001,-73.5515571,Aylwin / Ontario,45.5443031,-73.5454725,95.0,304.82105263157894,94.73684210526315
