Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member
U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.46714,-73.54259,U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.4599858,-73.5439557,122.0,2161.245901639344,23.770491803278688
Jardin Botanique (Pie-IX / Sherbrooke),45.46714,-73.54259,Jardin Botanique (Pie-IX / Sherbrooke),45.4599858,-73.5439557,122.0,1652.3524590163934,54.91803278688525
Chomedey / de Maisonneuve,45.46714,-73.54259,Melville / de Maisonneuve,45.4599858,-73.5439557,120.0,709.7916666666666,68.33333333333333
Marché Atwater,45.46714,-73.54259,de la Commune / St-Sulpice,45.4599858,-73.5439557,120.0,1331.0416666666667,45.0
Métro Guy-Concordia (Guy / St-Catherine),45.46714,-73.54259,Métro Guy-Concordia (Guy / St-Catherine),45.4599858,-73.5439557,118.0,1672.1694915254238,55.08474576271186
de la Commune / Place Jacques-Cartier,45.46714,-73.54259,de la Commune / St-Sulpice,45.4599858,-73.5439557,117.0,1624.7264957264956,20.51282051282051
de la Commune / Place Jacques-Cartier,45.46714,-73.54259,Normand / Marguerite-d’Youville,45.4599858,-73.5439557,117.0,1180.837606837607,38.46153846153847
de la Commune / St-Sulpice,45.46714,-73.54259,Normand / Marguerite-d’Youville,45.4599858,-73.5439557,117.0,1532.4957264957266,45.2991452991453
Smith / Peel,45.46714,-73.54259,Smith / Peel,45.4599858,-73.5439557,117.0,2275.102564102564,50.427350427350426
Bloomfield / Bernard,45.46714,-73.54259,Bloomfield / Bernard,45.4599858,-73.5439557,116.0,1190.2327586206898,50.0
des Bassins / Richmond,45.46714,-73.54259,des Bassins / Richmond,45.4599858,-73.5439557,114.0,1950.798245614035,57.89473684210527
Thimens / Alexis-Nihon,45.46714,-73.54259,Thimens / Alexis-Nihon,45.4599858,-73.5439557,114.0,1964.1842105263158,21.929824561403507
Elgar / de l'Île-des-Sœurs,45.46714,-73.54259,Place du Commerce,45.4599858,-73.5439557,113.0,983.8053097345132,64.60176991150442
Marché Atwater,45.46714,-73.54259,de la Commune / Place Jacques-Cartier,45.4599858,-73.5439557,111.0,1481.900900900901,38.73873873873874
Place du Commerce,45.46714,-73.54259,Elgar / de l'Île-des-Sœurs,45.4599858,-73.5439557,111.0,993.9459459459459,57.65765765765766
Normand / Marguerite-d’Youville,45.46714,-73.54259,de la Commune / St-Sulpice,45.4599858,-73.5439557,108.0,862.7037037037037,42.592592592592595
Parc Père-Marquette (Chambord / Rosemont),45.46714,-73.54259,Parc Père-Marquette (Chambord / Rosemont),45.4599858,-73.5439557,108.0,1346.3055555555557,75.0
Place du Commerce,45.46714,-73.54259,Place du Commerce,45.4599858,-73.5439557,108.0,2205.537037037037,48.148148148148145
de la Côte St-Paul / St-Ambroise,45.46714,-73.54259,de la Côte St-Paul / St-Ambroise,45.4599858,-73.5439557,108.0,1876.7222222222222,54.629629629629626
Young / Wellington,45.46714,-73.54259,Young / Wellington,45.4599858,-73.5439557,106.0,2963.0849056603774,35.84905660377358
Parc St-Claude (7e avenue / 8e rue),45.46714,-73.54259,Parc St-Claude (7e avenue / 8e rue),45.4599858,-73.5439557,106.0,2355.3867924528304,29.245283018867923
Bloomfield / Van Horne,45.46714,-73.54259,Bloomfield / Van Horne,45.4599858,-73.5439557,104.0,1566.0673076923076,68.26923076923077
LaSalle / 90e avenue,45.46714,-73.54259,LaSalle / 90e avenue,45.4599858,-73.5439557,104.0,2412.0576923076924,26.923076923076923
Melville / de Maisonneuve,45.46714,-73.54259,Melville / de Maisonneuve,45.4599858,-73.5439557,103.0,1623.873786407767,39.80582524271845
Parc Beaubien (Stuart / St-Viateur),45.46714,-73.54259,Parc Beaubien (Stuart / St-Viateur),45.4599858,-73.5439557,102.0,1611.7156862745098,46.07843137254902
de la Commune / Berri,45.46714,-73.54259,de la Commune / St-Sulpice,45.4599858,-73.5439557,101.0,1249.019801980198,41.584158415841586
Mackay / René-Lévesque,45.46714,-73.54259,Mackay / René-Lévesque,45.4599858,-73.5439557,99.0,1424.5858585858587,78.78787878787878
Melville / de Maisonneuve,45.46714,-73.54259,Chomedey / de Maisonneuve,45.4599858,-73.5439557,99.0,697.7474747474747,71.71717171717171
Jacques-Le Ber / de la Pointe Nord,45.46714,-73.54259,Jacques-Le Ber / de la Pointe Nord,45.4599858,-73.5439557,98.0,2603.4285714285716,42.857142857142854
Métro Viau (Pierre-de-Coubertin / Viau),45.46714,-73.54259,de Ville-Marie / Ste-Catherine,45.4599858,-73.5439557,98.0,489.55102040816325,87.75510204081633
Gagne / LaSalle,45.46714,-73.54259,LaSalle / 90e avenue,45.4599858,-73.5439557,98.0,1270.2755102040817,37.755102040816325
Marché Atwater,45.46714,-73.54259,Marché Atwater,45.4599858,-73.5439557,97.0,2268.59793814433,39.175257731958766
des Ormeaux / Notre-Dame,45.46714,-73.54259,des Ormeaux / Notre-Dame,45.4599858,-73.5439557,95.0,1860.9368421052632,47.368421052631575
des Ormeaux / Notre-Dame,45.46714,-73.54259,Notre-Dame / Liébert,45.4599858,-73.5439557,95.0,1206.821052631579,51.578947368421055
Gauthier / Papineau,45.46714,-73.54259,Gauthier / Papineau,45.4599858,-73.5439557,95.0,2032.6105263157895,73.68421052631578
Marché Atwater,45.46714,-73.54259,de la Commune / Berri,45.4599858,-73.5439557,95.0,1472.8,62.10526315789474
Notre-Dame / Liébert,45.46714,-73.54259,des Ormeaux / Notre-Dame,45.4599858,-73.5439557,95.0,1100.5052631578947,55.78947368421052
LaSalle / Godin,45.46714,-73.54259,Parc des Rapides (LaSalle / 6e avenue),45.4599858,-73.5439557,94.0,1256.8936170212767,32.97872340425532
de la Commune / Berri,45.46714,-73.54259,Marché Atwater,45.4599858,-73.5439557,93.0,1566.5913978494623,61.29032258064516
